file,utterance_id,stt_transcript,llm_response,tts_output_path,stt_latency_s,llm_latency_s,tts_latency_s,total_latency_s,wer,cer,error
2222_audio1.wav,audio1,Aku mau book flight ke Jeddah minggu depan. Bisa bantu schedule?,"Untuk melihat jadwal dan memesan penerbangan ke Jeddah minggu depan, Anda bisa langsung memeriksa situs pemesanan tiket online seperti Traveloka atau Skyscanner. Di sana Anda dapat membandingkan berbagai maskapai dan waktu keberangkatan yang tersedia.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2222_audio1_response.wav,4.786,2.331,11.585,18.711,,,
2222_audio10.wav,audio10,Apa perbedaan umrah dan hajj secara detail dalam Islam?,"Haji adalah ibadah wajib bagi umat Muslim yang mampu, dilakukan pada waktu tertentu di bulan Dzulhijjah, dengan serangkaian rukun yang lebih kompleks termasuk wukuf di Arafah. Sementara itu, Umrah adalah ibadah sunnah yang bisa dilakukan kapan saja sepanjang tahun, dengan rukun yang lebih sederhana dan durasi yang lebih singkat.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2222_audio10_response.wav,4.677,3.401,13.231,21.318,0.1111,0.0217,
2222_audio12.wav,audio12,Bagaimana proses visa Saudi untuk Umrah dari Indonesia sekarang?,"Proses visa Umrah dari Indonesia saat ini umumnya dilakukan melalui biro perjalanan Umrah resmi yang terdaftar. Anda akan menyerahkan dokumen seperti paspor yang masih berlaku, sertifikat vaksin meningitis, dan foto terbaru kepada biro tersebut. Biro perjalanan akan mengajukan permohonan visa elektronik (e-visa) untuk Anda kepada pemerintah Saudi.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2222_audio12_response.wav,4.706,2.447,13.237,20.405,0.1111,0.0182,
2222_audio14.wav,audio14,how to prepare dokumen umrah dari indonesia dengan benar,"Untuk menyiapkan dokumen Umrah dari Indonesia dengan benar, pastikan paspor Anda berlaku minimal 6 bulan dengan setidaknya dua halaman kosong. Siapkan juga visa Umrah yang diurus melalui travel agent resmi, sertifikat vaksinasi meningitis, dan foto paspor berukuran 4x6 dengan latar belakang putih. Jangan lupa Kartu Tanda Penduduk (KTP), Kartu Keluarga, dan dokumen pendukung lainnya seperti akta nikah atau akta lahir jika diperlukan.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2222_audio14_response.wav,4.728,2.705,14.325,21.769,0.0,0.0,
2222_audio2.wav,audio2,"I need simple travel, but include Madinah visit.","Untuk travel umrah yang sederhana dan termasuk kunjungan ke Madinah, Anda bisa mencari paket umrah standar yang biasanya memang sudah mencakup kunjungan ke Makkah dan Madinah. Banyak biro perjalanan menawarkan paket semacam ini, mulai dari 9 hingga 12 hari.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2222_audio2_response.wav,4.754,1.921,11.574,18.258,,,
2222_audio3.wav,audio3,Can you help aku arrange transport dari Judea ke Madinah tomorrow?,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,4.672,2.288,,,,,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
2222_audio4.wav,audio4,Explain step by step cara apply visa Saudi dengan benar,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,4.662,1.283,,,,,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
2222_audio5.wav,audio5,I Iq uridu bukfaik ilha jeddah al-usbu'al qadim hal bisa bantu ajidah aftal skidul warih latan mubasyirah.,"Tentu, saya bisa bantu Anda mencari jadwal penerbangan terbaik dan penerbangan langsung ke Jeddah untuk minggu depan. Mohon sebutkan tanggal keberangkatan yang spesifik.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2222_audio5_response.wav,9.163,8.363,11.346,28.875,,,
2222_audio6.wav,audio6,Uridu arranged transport min jeddah ila Madinah Wadan.,"Tentu, saya bisa bantu Anda mengatur transportasi dari Jeddah ke Madinah dan kembali lagi. Apakah ada tanggal atau waktu spesifik yang Anda inginkan?",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2222_audio6_response.wav,4.641,1.542,10.6,16.805,,,
2222_audio7.wav,audio7,"Book flight to Jeddah, then to Madinah.
 Schedule terbaik, kapan?","Untuk mencari jadwal penerbangan terbaik ke Jeddah, lalu ke Madinah, saya memerlukan beberapa informasi. Mohon beritahu saya kota keberangkatan Anda menuju Jeddah dan perkiraan tanggal yang diinginkan untuk kedua penerbangan tersebut.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2222_audio7_response.wav,4.722,2.278,11.387,18.395,,,
2301_audio1.wav,audio1,I want to book fly in the next week. Can you help schedule?,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,4.761,1.155,,,,,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
2301_audio11.wav,audio11,Why fasting in Ramadan is necessary for Muslims?,"Puasa di bulan Ramadan adalah salah satu rukun Islam yang wajib bagi setiap Muslim yang mampu. Tujuannya untuk meningkatkan ketakwaan, melatih kesabaran dan pengendalian diri, serta menumbuhkan empati terhadap sesama yang kurang beruntung.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2301_audio11_response.wav,4.126,2.236,11.656,18.022,0.75,0.575,
2301_audio12.wav,audio12,Bagaimana proses visa Saudi untuk umroh dari Indonesia sekarang?,"Proses visa umroh dari Indonesia umumnya dilakukan melalui agen perjalanan yang terdaftar. Saat ini, juga tersedia pilihan visa turis elektronik (eVisa) yang bisa digunakan untuk tujuan umroh.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2301_audio12_response.wav,4.648,2.446,10.97,18.067,0.2222,0.0364,
2301_audio14.wav,audio14,How to prepare dokumen umroh dari Indonesia dengan benar,"Untuk mempersiapkan dokumen umroh dari Indonesia, pastikan Anda memiliki paspor yang masih berlaku minimal 6 bulan, visa umroh yang telah disetujui, dan tiket pesawat pulang-pergi. Jangan lupa sertifikat vaksinasi meningitis dan foto ukuran paspor terbaru.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2301_audio14_response.wav,4.637,2.635,11.218,18.494,0.1111,0.0208,
2301_audio15.wav,audio15,Tolong buat checklist persiapan umroh termasuk barang wajib dibawa.,"Tentu, berikut adalah checklist persiapan umroh singkat:

**Dokumen:**
*   Paspor (masa berlaku min. 6 bulan)
*   Visa Umroh
*   Tiket pesawat pulang-pergi
*   Sertifikat vaksinasi meningitis & Covid-19 (jika diperlukan)

**Barang Wajib:**
*   Pakaian ihram (2 set)
*   Pakaian sopan dan nyaman (longgar, tidak transparan)
*   Perlengkapan mandi dan kebersihan pribadi
*   Obat-obatan pribadi
*   Sandal atau sepatu yang nyaman
*   Sajadah kecil dan Al-Quran saku (opsional)",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2301_audio15_response.wav,4.835,2.082,14.233,21.154,0.2222,0.0345,
2301_audio2.wav,audio2,"I need simple travel travel, but include Madinah visit.","[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,4.661,1.8,,,,,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
2301_audio3.wav,audio3,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow?,"Tentu, saya bisa bantu Anda mengatur transportasi dari Jeddah ke Madinah untuk besok. Bisakah Anda sebutkan jam berapa Anda ingin berangkat dari Jeddah dan berapa jumlah penumpangnya?",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2301_audio3_response.wav,4.689,1.506,11.27,17.467,,,
2301_audio4.wav,audio4,Explain step by step cara apply visa Saudi dengan benar.,"Tentu, berikut adalah langkah-langkah umum untuk mengajukan visa Saudi:

1.  **Tentukan Jenis Visa:** Pilih antara visa turis/eVisa (bisa untuk umroh) atau visa umroh melalui agen perjalanan.
2.  **Persiapkan Dokumen:** Siapkan paspor asli yang masih berlaku minimal 6 bulan, foto terbaru sesuai ketentuan, dan dokumen pendukung lainnya.
3.  **Ajukan Aplikasi:** Jika eVisa, kunjungi portal resmi eVisa Saudi, isi formulir online, unggah dokumen, dan bayar biaya. Jika visa umroh, daftarkan diri melalui agen perjalanan resmi yang akan membantu proses pengajuan.
4.  **Tunggu Persetujuan:** Setelah pengajuan, tunggu proses verifikasi dan persetujuan visa yang akan dikirimkan melalui email atau diberitahukan oleh agen Anda.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2301_audio4_response.wav,4.72,3.659,15.96,24.343,,,
2301_audio5.wav,audio5,"Ya Akhi, Uridu Book Flight Ila Jidah Al-Usbu Al-Qadim Hal Bisa Bantu Ajidah Afdal Schedule Warih Latan Mubashiroh?","Tentu, saya bisa bantu Anda mencari jadwal penerbangan terbaik dan penerbangan langsung ke Jeddah untuk minggu depan. Mohon sebutkan tanggal keberangkatan yang spesifik.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2301_audio5_response.wav,6.756,3.373,11.376,21.509,,,
2301_audio6.wav,audio6,Uridu Range Transport menjedah ila Madinah Ghodan.,"Tentu, saya bisa bantu Anda mengatur transportasi dari Jeddah ke Madinah untuk besok. Bisakah Anda sebutkan jam berapa Anda ingin berangkat dari Jeddah dan berapa jumlah penumpangnya?",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2301_audio6_response.wav,4.673,1.976,10.034,16.686,,,
2302_audio01.wav,audio01,"I want to book flight in the next week, can help schedule.","Tentu, saya bisa bantu Anda mencari jadwal penerbangan. Untuk ke mana tujuan penerbangan Anda minggu depan?",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2302_audio01_response.wav,4.713,2.048,11.142,17.907,0.9091,0.5926,
2302_audio02.wav,audio02,"I need a simple travel umroh, but include Madinah visit.","Tentu, Anda bisa memilih paket umroh yang dimulai dengan ibadah umroh di Mekkah, kemudian melanjutkan perjalanan ke Madinah untuk berziarah. Umumnya, paket ini mencakup transportasi antarkota dan akomodasi di kedua kota suci.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2302_audio02_response.wav,5.714,2.465,12.252,20.435,0.8889,0.4792,
2302_audio03.wav,audio03,"Can you help?
 I arrange transport from Jeddah to Madinah tomorrow.","Tentu, saya bisa bantu Anda mengatur transportasi dari Jeddah ke Madinah untuk besok. Mohon informasikan jam berapa Anda ingin berangkat dan berapa jumlah penumpangnya.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2302_audio03_response.wav,4.727,2.126,11.138,17.996,0.4545,0.1786,
2302_audio04.wav,audio04,Expand step by step cara apply Visa Saudi dengan benar.,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,4.685,2.415,,,0.2,0.087,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
2302_audio05.wav,audio05,"Ya Akhi, Uridubu Flight Ila Jeddah Al-Usbu Al-Khadim Hal Bitha Bantu Ajida Afdal Schedul Warih Latan Mubassiroh","Tentu, saya bisa bantu Anda mencari jadwal penerbangan terbaik dan penerbangan langsung ke Jeddah untuk minggu depan. Mohon sebutkan tanggal keberangkatan yang spesifik.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2302_audio05_response.wav,4.717,1.93,11.59,18.268,0.5263,0.1429,
2302_audio06.wav,audio06,"Uridu Range Transport, Minjida, Ilamadina Khadad.","Tentu, saya bisa bantu Anda mengatur transportasi dari Jeddah ke Madinah untuk besok. Bisakah Anda sebutkan jam berapa Anda ingin berangkat dan berapa jumlah penumpangnya?",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2302_audio06_response.wav,4.709,2.237,10.916,17.865,0.875,0.2174,
2302_audio11.wav,audio11,Why fasting is necessary for Muslims?,"Puasa di bulan Ramadan adalah salah satu rukun Islam yang wajib bagi setiap Muslim yang mampu. Tujuannya untuk meningkatkan ketakwaan, melatih kesabaran dan pengendalian diri, serta menumbuhkan empati terhadap sesama yang kurang beruntung.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2302_audio11_response.wav,4.669,2.43,11.583,18.688,0.875,0.675,
2302_audio14.wav,audio14,How to prepare Dokumen Umroh dari Indonesia dengan benar?,"Untuk mempersiapkan dokumen umroh dari Indonesia, pastikan Anda memiliki paspor yang masih berlaku minimal 6 bulan, visa umroh yang telah disetujui, dan tiket pesawat pulang-pergi. Jangan lupa sertifikat vaksinasi meningitis dan foto ukuran paspor terbaru.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2302_audio14_response.wav,4.703,2.275,11.889,18.871,0.2222,0.0417,
2302_audio15.wav,audio15,"Please make the checklist of the umroh preparation, including the required bar.","[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,5.184,7.094,,,1.2222,0.8276,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
2302_audio17.wav,audio17,"In theory, learning Arabic is not easy for you?","[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,4.658,1.737,,,1.0,0.74,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
2303_audio01.wav,audio01,Aku mau book flight ke Jeddah minggu depan bisa bantu schedule,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,4.644,1.477,,,0.1818,0.037,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
2303_audio02.wav,audio02,Aku butuh travel umrah simple tapi include Madinah visit.,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,4.638,1.612,,,0.1111,0.0208,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
2303_audio03.wav,audio03,can you help me arrange transport dari jeddah ke madinah tomorrow,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,4.76,1.911,,,0.0909,0.0536,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
2303_audio04.wav,audio04,Explain step by step cara apply visa Saudi dengan benar.,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,4.67,1.278,,,0.1,0.0217,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
2303_audio05.wav,audio05,ya akhi uri dubuk fraik ila jaddah al usbu al qadim hal bisa bantu ajidah afdol skedol warih latan mubashirah,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,5.186,0.965,,,0.7368,0.1939,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
2303_audio06.wav,audio06,"""Uridu Orange Transport Min Jeddah Ila Madinah Khadan""","[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,4.684,1.875,,,0.375,0.1087,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
2303_audio07.wav,audio07,book flight ke jeddah lalu lanjut ke madinah schedule terbaik kapan,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,4.625,2.163,,,0.0909,0.0172,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
2303_audio13.wav,audio13,Jelaskan step by step cara booking flight ke Jeddah secara online.,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,4.661,3.632,,,0.0909,0.0182,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
2303_audio15.wav,audio15,tolong buat checklist persiapan umrah termasuk barang wajib dibawa,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,5.655,1.22,,,0.0,0.0,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
2303_audio19.wav,audio19,"Ahyanan, saya bingung mulai dari mana untuk Umrah","[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,4.806,1.449,,,0.125,0.0244,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
2304_audio01.wav,audio01,I want to book flight to the next week. Can you help schedule?,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,4.706,1.665,,,0.9091,0.6111,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
2304_audio02.wav,audio02,"I need a travel umroh simple, but include Madinah visit.","[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,5.16,0.796,,,0.7778,0.2917,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
2304_audio03.wav,audio03,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow?,"Maaf, sebagai asisten virtual, saya tidak bisa langsung membantu mengatur transportasi Anda. Namun, Anda bisa mencari bus atau taksi online dari Jeddah ke Madinah, atau menggunakan layanan transportasi khusus haji/umrah.",/Users/tinsarirauhana/UAS-Praktikum-Pemrosesan-Bahasa-Alami/data/corpus/output_tts/2304_audio03_response.wav,4.742,1.682,13.287,19.716,0.0909,0.0179,
2304_audio04.wav,audio04,Explain step by step cara apply visa Saudi dengan benar.,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,4.745,1.98,,,0.1,0.0217,"[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
